iter	RMSE
0	45133841.54
1	41775400.76
2	40515458.01
3	39328449.67
4	38388480.91
5	37248181.2
6	36547052.38
7	36013395.13
8	35104454.23
9	34406166.11
10	33507242.59
11	33132222.64
12	32344876.24
13	31520888.95
14	31207730.05
15	30550018.66
16	30086302.21
17	29421001.31
18	29022958.53
19	28557169.11
20	27632273.64
21	27467029.64
22	26890121.22
23	26694862.16
24	26308722.87
25	26256879.3
26	25905582.26
27	25603480.31
28	25473753.8
29	25032960.6
30	24305883.5
31	23419978.66
32	23092278.75
33	22415941.92
34	21858242.39
35	21623395.24
36	21167658.05
37	20860684.05
38	20465267.04
39	20013991.69
40	19644379.7
41	19349182.13
42	19103962.88
43	18907426.14
44	18796040.87
45	18427208.65
46	17894831.21
47	17613093.03
48	17394179.23
49	17191421.03
50	16843827.41
51	16318185.11
52	16068105.98
53	15920013.14
54	15687840.03
55	15503501.4
56	15226319.65
57	14967622.98
58	14839609.77
59	14698730.19
60	14512311.46
61	14178538.15
62	13970783.16
63	13906294.37
64	13675658.67
65	13308831.12
66	13184679.22
67	13032859.28
68	12780942.45
69	12593882.52
70	12486082.06
71	12281428.19
72	12098527.57
73	11840379.61
74	11812873.54
75	11651270.59
76	11477736.16
77	11169201.7
78	10996023.24
79	10788954.72
80	10645997.21
81	10572945.05
82	10408920.34
83	10214437.43
84	10141781.29
85	10026153.21
86	9830246.932
87	9780284.824
88	9747529.551
89	9604784.301
90	9442241.127
91	9339135.78
92	9208720.007
93	9114739.069
94	9074320.486
95	8960379.828
96	8826039.384
97	8732848.32
98	8685863.412
99	8581523.367
