iter	Passed	Remaining
0	3	387
1	6	338
2	10	327
3	13	323
4	17	325
5	20	315
6	23	314
7	26	309
8	30	309
9	33	303
10	36	297
11	39	290
12	43	287
13	46	285
14	49	281
15	52	277
16	56	274
17	59	270
18	62	266
19	65	261
20	68	257
21	71	253
22	74	250
23	78	247
24	81	243
25	84	239
26	87	236
27	91	235
28	94	232
29	97	228
30	100	224
31	103	220
32	107	217
33	110	214
34	113	210
35	116	207
36	119	204
37	124	202
38	127	198
39	129	194
40	132	190
41	135	187
42	138	183
43	141	179
44	143	175
45	146	172
46	149	168
47	152	165
48	155	162
49	158	158
50	161	155
51	164	151
52	167	148
53	170	145
54	173	141
55	176	138
56	179	135
57	182	132
58	185	129
59	188	125
60	191	122
61	194	119
62	197	116
63	200	112
64	203	109
65	206	106
66	209	103
67	212	100
68	215	97
69	218	93
70	221	90
71	225	87
72	227	84
73	230	81
74	233	77
75	236	74
76	239	71
77	242	68
78	245	65
79	248	62
80	251	59
81	254	55
82	257	52
83	260	49
84	262	46
85	265	43
86	268	40
87	271	37
88	274	33
89	278	30
90	280	27
91	283	24
92	286	21
93	289	18
94	292	15
95	295	12
96	297	9
97	300	6
98	304	3
99	307	0
